Local government name,link,Successes,Challenges,Receipts,Disbursements,Interest,Dec. account balance,Notes,Percent spent (without interest),Public Input?,Spending explanations:
Trempealeau,https://www.documentcloud.org/documents/26017777-trempealeau-county/,Addressed internal communications and infrastructure issues addressed through the creation of the opioid settlement subcommittee.  The committee plans to recommend informed expenditures and implement programming in 2025.,Limited availability. Determining the most effective programs and efforts to maximize funds and ensure long-term success. The fiscal limits of other funding sources that may be needed. Greater need for services in jail.,"$416,473.00","$9,650.00","$21,439.00","$428,263.00",,2.32%,TBD,Increased mental health and/or opioid treatment to people in county jail
Vernon,https://www.documentcloud.org/documents/26017796-vernon-county/,None reported.,A lack of mental health facilities and treatment. The infiltration of fentanyl into the community. The county has struggled to fill a part-time position for an Opioid Prevention Coordinator to help manage funds and grant programs.,"$431,923.00","$37,293.00",$608.00,"$395,238.00",,8.63%,TBD,"Educational marketing campaign around Fentanyl/Opioids. Medication lock box initiative. Knutson Memorial Library prevention, recovery and harm reduction programming. Next Steps for Change peer support and harm reduction strategies. McIntosh Memorial Library opioid educational resources."
Vilas,https://www.documentcloud.org/documents/26017781-vilas-county/,"Explored expanding jail treatment programs through  the State Opioid Response Jail Grant. Implemented the first year of the Treatment Alternatives and Diversion Grant. Developed a Criminal Justice Coordinating Council to assist with future opioid and criminal justice planning initiatives.",Identifying location where Naloxone Vending Machines are allowed. Getting sufficient referrals for the Treatment Alternatives Diversion grant. Separation between the Human Services and the county Social Services systems.,"$589,911.48*","$41,667.00","$33,019*","$581,263.00",Subtracted interest from receipt total when included.,7.06%,TBD,Matching funds for the Treatment Alternative Diversion grant.
Walworth,https://www.documentcloud.org/documents/26017787-walworth-county/,Decreased opioid overdose deaths in 2024. Utilized of the Community Substance Use Specialists to increase Naloxone distribution and improve community partnerships. Distributed 797 boxes of Narcan. Implemented the Recovery Friendly Workplaces campaign. Completed the Substance Use Gap Analysis which provided important local data and recommendations.,Finding providers and locations for recovery housing. Limited expertise and capacity to provide businesses technical assistance for implementing Recovery Friendly Workplaces. Limited scope of funding has been a barrier to systematically and strategically address the opioid epidemic.,"$2,045,745.00","$102,484.00","$133,527.00","$2,074,789.00",,5.01%,TBD,Stigma reduction and recovery friendly workplaces media campaigns. Naltrexone and Vivitrol. Face shields for nurses administering vivitrol. Caregiver support groups and financial incentives for people with lived experience through the Overdose Fatality Review Team. Online tool for substance use Gap Analysis. Community Substance Use Specialists.
Washburn,https://www.documentcloud.org/documents/26025493-washburn/,"Distributed Narcan and Fentanyl test strip, medication lock boxes and deactivation kits and educational materials.Supported two drug take back days annually.",Stigma related to any type of drug use. Overdose deaths in Washburn seemed to remain fairly static in recent years.,"$247,649.42",$0.00,"$16,107.47","$253,240*",December balance does not include 2024 interest. County includes interest in next year's balance.,0.00%,TBD,None
Washington,https://www.documentcloud.org/documents/26017786-washington-county/,Addressed the needs of criminal justice-involved individuals through Diversion and Drug Treatment court. Increased access to multiple forms of Medication-Assisted Treatment and started to make progress on harm reduction strategies.,"A lack of data to support decisions on funding, strategy, and intervention. The lack of access to affordable housing, transportation and employment opportunities.","$2,668,440.00","$32,870.00",$0.00,"$2,635,570.00",,1.23%,TBD,"Assistant County Attorney that supports pre-trial services, connects people to services, and supports treatment court."
Waukesha,https://www.documentcloud.org/documents/26017790-waukesha-county/,"""See waukeshacounty.gov for additional information.""","""See waukeshacounty.gov for additional information.""","$8,088,415.00","$1,110,707.00","$276,735.00","$7,254,433.00",,13.73%,TBD,Overdose kits. Overdose technology. Outpatient treatment. Pretrial diversion services. Marketing. Medications for Opioid Use Disorder in jail. Drug treatment court staff training. Inpatient treatment.
Waupaca,https://www.documentcloud.org/documents/26017797-waupaca-county/,Overdose fatalities have significantly declined. Supported and implemented smaller projects.,"""Determining a process for larger scale projects has taken some time.""","$769,323.00","$101,588.00","$92,146.00","$759,881.00",,13.20%,TBD,Awareness campaign. Training for public health home visitation staff. Narcotics Investigations Equipment - TruNarc. Prevention media campaign. Substance Use Disorder counselor. Training Substance Use Disorder Counselor.
Waushara,https://www.documentcloud.org/documents/26017792-waushara-county/,"Added a full-time recovery coach which increased peer services in the area. After receiving initial rental assistance, several people were able to find employment and save enough money to continue at the sober living facility or find independent housing.",None reported.,"$309,598.00","$161,132.00",$0.00,"$148,466.00",,52.05%,TBD,Sober living. Recovery coach. Fentanyl and other opioid detecting equipment for Sheriff's Office. Sober living home software. Drug Endangered Children conference costs for health staff and police. Inpatient treatment. Step-down facility after treatment. Sober living home rent. Support for a recovery coach. Vivitrol for uninsured person. Locked medication boxes. One month of rent for a mom with substance use issues.
Winnebago,https://www.documentcloud.org/documents/26017779-winnebago-county/,"Expanded the jail treatment program to include more dedicated recovery coaches and a program coordinator position so the county could meet the increasing needs for the program. Incorporated a therapy dog into jail treatment programming. Increased access to treatment and services.","Locating pre-use entry points for prevention services.  Tracking the success and failure of jail treatment program participants post release due to the volume of participants. The county needs continued funding for tracking efforts.","$2,916,386.00","$1,775,515.00",$0.00,"$1,140,872.00",,60.88%,TBD,Sobriety and Treatment Assisted Recovery program in county jail. CONNECT Program and Safe Streets Initiatives in Human Services and courts. TruNarc Handheld Narcotics Analyzers.
Wood,https://www.documentcloud.org/documents/26017785-wood-county/,Developed and approved an Opioid Settlement Plan that will guide settlement fund spending. Funded a project in the Wisconsin Rapids that will substantially increase access to treatment for substance use disorder. Expanded Medication-assisted treatment in the county jail. Started a Recovery Corps position and an overdose fatality review team.,"Opioid abatement efforts are overwhelming for county health department staff. Settlement funds are not sufficient to comprehensively address prevention, harm reduction, treatment, recovery, and stigma reduction.Difficulties finding feasible approaches given the limited capacity of our local jurisdiction. Getting beyond the current crisis to a point where prevention can be a priority will take years. ","$1,093,982.00","$968,699.00","$12,510.00","$137,793.00",,88.55%,TBD,"New Family Health Center satellite location. Vivent Harm Reduction Project. First responder and frontline workforce training on opioid prevention and harm
reduction. Rent Smart education on finding and keeping affordable sober housing. Harm reduction and education for domestic and sexual violence. Kairos Care Hannah Center - program for nonresidential women in crisis. Marshfield Area Coalition for Youth. Jail-based Medication Assisted Recovery program. Employee wellness for Sheriff's Department. Peer support recovery project Juvenile Justice Ministries - Life Choices, Badgerland Youth for Christ. Officer mental health support, Marshfield Police Department."
